region,avg_income,avg_expenditure,savings,savings_rate
Asir,11264,9701,1563,13.8800001144409
Riyadh,14990,13000,1990,13.2799997329712
Tabuk,11127,9722,1405,12.6300001144409
Northern Border,12868,11310,1558,12.1099996566772
Makkah,10141,9146,995,9.8100004196167
AL - Jouf,10686,9872,814,7.61999988555908
Hail,9269,8600,669,7.21999979019165
Madinah,9723,9317,406,4.17999982833862
Eastern Province,11775,11509,266,2.25999999046326
Qassim,10081,9983,98,0.970000028610229
AL - Baha,11348,11346,2,0.0199999995529652
Najran,7969,8159,-190,-2.38000011444092
Jazan,10763,13353,-2590,-24.0599994659424
